ID;Model;Dataset;Strategy;Learning Rate;Batch;Epochs;Drop (conv);Drop (dense);Dense Units;Class Weights;Label Smoothing;Weight Decay;Augmentation;ES Patience;ES Min Delta;LR Patience;LR Factor;Min LR
1;SimpleCNN;FER2013;Baseline;1,00E-03;64;100;0.25;0.5;256;balanced;0.10;1,00E-04;Aggressive;20;1,00E-03;7;0.5;1,00E-07
2;SimpleCNN;CK+;Baseline;5,00E-04;32;150;0.3;0.6;128;balanced;0.05;1,00E-03;Conservative;25;5,00E-04;8;0.5;1,00E-07
3;SimpleCNN;RAF-DB;Baseline;1,00E-03;64;100;0.25;0.5;256;off;0.05;1,00E-04;Aggressive;20;1,00E-03;7;0.5;1,00E-07
4;SimpleCNN;AffectNet;Baseline;1,00E-03;64;100;0.25;0.5;256;off;0.05;1,00E-04;Medium;20;1,00E-03;7;0.5;1,00E-07
5;VGG16;FER2013;TL;1,00E-03;32;50;?;0.5;256;balanced;0.10;1,00E-04;Medium;10;1,00E-03;3;0.5;1,00E-07
6;VGG16;FER2013;PFT;1,00E-04;32;80;?;0.5;256;balanced;0.10;1,00E-04;Aggressive;15;5,00E-04;5;0.5;1,00E-07
7;VGG16;FER2013;FFT;1,00E-05;32;100;?;0.5;256;balanced;0.10;1,00E-04;Aggressive;20;3,00E-04;7;0.3;1,00E-08
8;VGG16;CK+;TL;5,00E-04;16;80;?;0.6;128;balanced;0.05;5,00E-04;Conservative;15;5,00E-04;5;0.5;1,00E-07
9;VGG16;CK+;PFT;5,00E-05;16;100;?;0.6;128;balanced;0.05;5,00E-04;Medium;20;3,00E-04;7;0.5;1,00E-07
10;VGG16;CK+;FFT;8,00E-06;16;100;?;0.6;128;balanced;0.05;5,00E-04;Medium;20;3,00E-04;7;0.3;1,00E-08
11;VGG16;RAF-DB;TL;1,00E-03;32;50;?;0.5;256;off;0.05;1,00E-04;Aggressive;10;1,00E-03;3;0.5;1,00E-07
12;VGG16;RAF-DB;PFT;1,00E-04;32;80;?;0.5;256;off;0.05;1,00E-04;Aggressive;15;5,00E-04;5;0.5;1,00E-07
13;VGG16;RAF-DB;FFT;1,00E-05;32;100;?;0.5;256;off;0.05;1,00E-04;Aggressive;20;3,00E-04;7;0.3;1,00E-08
14;VGG16;AffectNet;TL;1,00E-03;32;50;?;0.5;256;off;0.05;1,00E-04;Medium;10;1,00E-03;3;0.5;1,00E-07
15;VGG16;AffectNet;PFT;1,00E-04;32;80;?;0.5;256;off;0.05;1,00E-04;Aggressive;15;5,00E-04;5;0.5;1,00E-07
16;VGG16;AffectNet;FFT;1,00E-05;32;100;?;0.5;256;off;0.05;1,00E-04;Aggressive;20;3,00E-04;7;0.3;1,00E-08
17;ResNet50;FER2013;TL;1,00E-03;64;50;?;0.5;256;balanced;0.10;1,00E-04;Medium;10;1,00E-03;3;0.5;1,00E-07
18;ResNet50;FER2013;PFT;1,00E-04;64;80;?;0.5;256;balanced;0.10;1,00E-04;Aggressive;15;5,00E-04;5;0.5;1,00E-07
19;ResNet50;FER2013;FFT;1,00E-05;32;100;?;0.5;256;balanced;0.10;1,00E-04;Aggressive;20;3,00E-04;7;0.3;1,00E-08
20;ResNet50;CK+;TL;5,00E-04;16;80;?;0.6;128;balanced;0.05;5,00E-04;Conservative;15;5,00E-04;5;0.5;1,00E-07
21;ResNet50;CK+;PFT;5,00E-05;16;100;?;0.6;128;balanced;0.05;5,00E-04;Medium;20;3,00E-04;7;0.5;1,00E-07
22;ResNet50;CK+;FFT;5,00E-06;16;120;?;0.6;128;balanced;0.05;5,00E-04;Medium;20;2,00E-04;8;0.3;1,00E-08
23;ResNet50;RAF-DB;TL;1,00E-03;64;50;?;0.5;256;off;0.05;1,00E-04;Aggressive;10;1,00E-03;3;0.5;1,00E-07
24;ResNet50;RAF-DB;PFT;1,00E-04;64;80;?;0.5;256;off;0.05;1,00E-04;Very Aggressive;15;5,00E-04;5;0.5;1,00E-07
25;ResNet50;RAF-DB;FFT;1,00E-05;32;100;?;0.5;256;off;0.05;1,00E-04;Very Aggressive;20;3,00E-04;7;0.3;1,00E-08
26;ResNet50;AffectNet;TL;1,00E-03;64;50;?;0.5;256;off;0.05;1,00E-04;Medium;10;1,00E-03;3;0.5;1,00E-07
27;ResNet50;AffectNet;PFT;1,00E-04;64;80;?;0.5;256;off;0.05;1,00E-04;Aggressive;15;5,00E-04;5;0.5;1,00E-07
28;ResNet50;AffectNet;FFT;1,00E-05;32;100;?;0.5;256;off;0.05;1,00E-04;Aggressive;20;3,00E-04;7;0.3;1,00E-08
29;MobileNetV2;FER2013;TL;1,00E-03;64;50;?;0.4;128;balanced;0.10;1,00E-04;Medium;10;1,00E-03;3;0.5;1,00E-07
30;MobileNetV2;FER2013;PFT;1,00E-04;64;80;?;0.4;128;balanced;0.10;1,00E-04;Aggressive;15;5,00E-04;5;0.5;1,00E-07
31;MobileNetV2;FER2013;FFT;1,00E-05;32;100;?;0.4;128;balanced;0.10;1,00E-04;Aggressive;20;3,00E-04;7;0.3;1,00E-08
32;MobileNetV2;CK+;TL;5,00E-04;32;80;?;0.5;64;balanced;0.05;5,00E-04;Conservative;15;5,00E-04;5;0.5;1,00E-07
33;MobileNetV2;CK+;PFT;5,00E-05;32;100;?;0.5;64;balanced;0.05;5,00E-04;Medium;20;3,00E-04;7;0.5;1,00E-07
34;MobileNetV2;CK+;FFT;5,00E-06;16;100;?;0.5;64;balanced;0.05;5,00E-04;Medium;20;2,00E-04;7;0.3;1,00E-08
35;MobileNetV2;RAF-DB;TL;1,00E-03;64;50;?;0.4;128;off;0.05;1,00E-04;Aggressive;10;1,00E-03;3;0.5;1,00E-07
36;MobileNetV2;RAF-DB;PFT;1,00E-04;64;80;?;0.4;128;off;0.05;1,00E-04;Aggressive;15;5,00E-04;5;0.5;1,00E-07
37;MobileNetV2;RAF-DB;FFT;1,00E-05;32;100;?;0.4;128;off;0.05;1,00E-04;Aggressive;20;3,00E-04;7;0.3;1,00E-08
38;MobileNetV2;AffectNet;TL;1,00E-03;64;50;?;0.4;128;off;0.05;1,00E-04;Medium;10;1,00E-03;3;0.5;1,00E-07
39;MobileNetV2;AffectNet;PFT;1,00E-04;64;80;?;0.4;128;off;0.05;1,00E-04;Aggressive;15;5,00E-04;5;0.5;1,00E-07
40;MobileNetV2;AffectNet;FFT;1,00E-05;32;100;?;0.4;128;off;0.05;1,00E-04;Aggressive;20;3,00E-04;7;0.3;1,00E-08
41;EfficientNetB0;FER2013;TL;5,00E-04;64;50;?;0.3;128;balanced;0.10;5,00E-05;Medium;10;1,00E-03;3;0.5;1,00E-07
42;EfficientNetB0;FER2013;PFT;5,00E-05;64;80;?;0.3;128;balanced;0.10;5,00E-05;Medium;15;5,00E-04;5;0.5;1,00E-07
43;EfficientNetB0;FER2013;FFT;5,00E-06;32;100;?;0.3;128;balanced;0.10;5,00E-05;Aggressive;20;3,00E-04;7;0.3;1,00E-08
44;EfficientNetB0;CK+;TL;3,00E-04;16;80;?;0.4;64;balanced;0.05;1,00E-04;Conservative;15;5,00E-04;5;0.5;1,00E-07
45;EfficientNetB0;CK+;PFT;3,00E-05;16;100;?;0.4;64;balanced;0.05;1,00E-04;Conservative;20;3,00E-04;7;0.5;1,00E-07
46;EfficientNetB0;CK+;FFT;5,00E-06;16;100;?;0.5;64;balanced;0.05;5,00E-04;Medium;20;2,00E-04;8;0.3;1,00E-08
47;EfficientNetB0;RAF-DB;TL;5,00E-04;64;50;?;0.3;128;off;0.05;5,00E-05;Medium;10;1,00E-03;3;0.5;1,00E-07
48;EfficientNetB0;RAF-DB;PFT;5,00E-05;64;80;?;0.3;128;off;0.05;5,00E-05;Aggressive;15;5,00E-04;5;0.5;1,00E-07
49;EfficientNetB0;RAF-DB;FFT;5,00E-06;32;100;?;0.3;128;off;0.05;5,00E-05;Aggressive;20;3,00E-04;7;0.3;1,00E-08
50;EfficientNetB0;AffectNet;TL;5,00E-04;64;50;?;0.3;128;off;0.05;5,00E-05;Medium;10;1,00E-03;3;0.5;1,00E-07
51;EfficientNetB0;AffectNet;PFT;5,00E-05;64;80;?;0.3;128;off;0.05;5,00E-05;Medium;15;5,00E-04;5;0.5;1,00E-07
52;EfficientNetB0;AffectNet;FFT;5,00E-06;32;100;?;0.3;128;off;0.05;5,00E-05;Aggressive;20;3,00E-04;7;0.3;1,00E-08
